Uniprot,score_alpha,score_topm,res_length,SS,pLDDT,proQ3D,qmean,EC
P9WID3,0.1547,0.2593,328,42.0,92.92307211338029,0.225,0.1751,2.7.1.11
P9WJ63,0.1953,0.3954,268,29.0,93.54457301667487,0.2423,0.1933,2.1.1.226
P9WJR1,0.1706,0.2014,141,19.9,96.68186616399656,0.2019,0.2139,2.8.1.12
P9WJR3,0.2078,0.2156,147,20.6,92.68553667262982,0.2421,0.2053,2.8.1.12
P9WK17,0.1731,0.1937,727,78.0,97.0613264938806,0.2176,0.2024,2.3.3.9
P9WK23,0.1648,0.2311,724,75.9,94.93416282369658,0.2163,0.1801,2.4.1.25
P9WKA5,0.2546,0.3963,448,48.9,86.46378020035407,0.3159,0.2211,2.3.1.20
P9WKE1,0.1617,0.1731,214,28.5,95.51809762202733,0.1778,0.1816,2.7.4.9
P9WMB5,0.2466,0.2542,302,33.8,90.07183080808066,0.322,0.167,2.3.1.265
P9WMZ3,0.2,0.2233,385,48.6,95.31795110192895,0.2541,0.1745,2.4.1.346
P9WN47,0.163,0.1846,321,41.4,95.71440881763502,0.1995,0.1856,2.1.1.44
P9WP53,0.2082,0.241,323,36.0,94.09933168316796,0.2641,0.1958,2.5.1.113
P9WQ27,0.2177,0.273,526,55.3,96.15451013926142,0.2596,0.1946,2.4.1.18
P9WQB3,0.244,0.2508,588,77.3,90.7839577777768,0.2899,0.2222,2.3.3.13
Q00766,0.1993,0.1773,840,84.2,94.6352602339184,0.228,0.2023,2.4.1.1
Q01581,0.2594,0.2776,506,53.2,92.65261656050929,0.2633,0.2447,2.3.3.10
Q02974,0.1987,0.222,298,38.4,97.0790604610706,0.2345,0.197,2.7.1.3
Q03147,0.2915,0.3625,332,35.5,84.57960516324964,0.3048,0.251,2.7.11.22
Q03786,0.199,0.2873,183,21.7,93.71688092016248,0.2524,0.1702,2.7.1.12
Q04409,0.2114,0.2977,500,53.8,92.18022646310436,0.2529,0.1993,2.7.1.2
Q04806,0.3396,0.3109,354,36.9,97.31872041166338,0.381,0.2326,2.5.1.18
Q05961,0.2424,0.2238,358,38.7,91.46680013573096,0.2808,0.2038,2.7.7.84
Q06287,0.2937,0.2196,252,26.8,90.53955987717548,0.3348,0.2395,2.1.1.260
Q06592,0.2765,0.2526,142,22.2,93.8430586236195,0.2977,0.2303,2.3.1.48
Q06625,0.218,0.2407,1536,62.6,92.22703787633576,0.4442,0.2037,2.4.1.25
Q06892,0.2824,0.2975,381,46.4,92.00300335570536,0.3199,0.2198,2.7.1.86
Q07794,0.2875,0.2474,395,49.0,91.5450591531756,0.3608,0.2422,2.3.1.48
Q08188,0.1854,0.2651,693,81.6,95.98745966994208,0.2353,0.2126,2.3.2.13
Q08189,0.2045,0.254,693,81.0,95.01110273846814,0.234,0.2135,2.3.2.13
Q08689,0.2807,0.2779,176,21.8,87.8627390366641,0.312,0.2385,2.3.1.258
Q09265,0.2972,0.3758,288,29.2,91.64029222174445,0.3096,0.2438,2.1.1.362
Q09326,0.3107,0.2365,442,41.6,85.98152077562294,0.2732,0.2882,2.4.1.143
Q09607,0.2334,0.2489,210,25.6,97.44360237388752,0.2843,0.1778,2.5.1.18
Q09629,0.236,0.2669,222,29.7,93.3558742857137,0.2872,0.1845,2.7.4.3
Q09644,0.2341,0.3002,393,43.0,90.51816757275282,0.2876,0.2009,2.1.1.320
Q09652,0.2504,0.2858,214,29.0,95.82066213921884,0.2988,0.1884,2.5.1.18
Q0WP12,0.2628,0.255,208,23.0,97.89919148936148,0.3198,0.2111,2.1.1.n4
Q10078,0.2819,0.2995,344,30.4,86.39977032446245,0.2991,0.237,2.7.11.1
Q10215,0.2414,0.2844,112,14.4,96.04954444444392,0.2891,0.2002,2.8.1.1
Q10242,0.1843,0.322,193,21.0,90.6307656765676,0.2418,0.1796,2.7.1.12
Q10452,0.2698,0.3555,374,40.0,94.18493168943638,0.3126,0.2266,2.7.11.1
Q10469,0.3203,0.2319,435,41.6,87.25117630385421,0.2719,0.3042,2.4.1.143
Q10S55,0.253,0.2178,334,39.7,95.59349480968824,0.3029,0.1948,2.4.2.17
Q11201,0.3497,0.246,340,28.9,89.80293072179903,0.3945,0.2477,2.4.99.4
Q12055,0.2296,0.261,175,19.6,96.21924753867766,0.2859,0.153,2.7.4.3
Q12126,0.2214,0.3591,325,33.0,86.47756756756758,0.2354,0.2276,2.7.11.23
Q12390,0.2936,0.2532,233,27.4,92.37939524837984,0.3411,0.2239,2.5.1.18
Q14353,0.2938,0.2275,236,25.9,96.861029649596,0.3601,0.2253,2.1.1.2
Q15119,0.2704,0.2965,381,49.8,91.70008878658392,0.3312,0.1926,2.7.11.2
Q15126,0.2199,0.2921,192,21.4,92.7019716494844,0.2677,0.1694,2.7.4.2
Q15835,0.3094,0.2458,535,47.6,93.28172228704774,0.3515,0.2339,2.7.11.14
Q16222,0.2397,0.2742,522,57.2,93.27542139579784,0.2685,0.2337,2.7.7.23
Q16613,0.2637,0.2646,166,24.1,92.51189433962251,0.2779,0.2631,2.3.1.87
Q16769,0.1906,0.205,326,38.2,97.63643913538122,0.2011,0.21,2.3.2.5
Q18014,0.3161,0.2847,358,37.6,95.94310212617631,0.4098,0.2185,2.4.1.221
Q18493,0.2332,0.34,484,49.9,93.9561781076074,0.2777,0.2224,2.7.7.23
Q1ENB6,0.1926,0.3002,473,55.9,92.9212668827662,0.2305,0.191,2.5.1.15
Q20351,0.3328,0.3787,259,27.2,93.8184772296011,0.3877,0.229,2.8.2.20
Q22146,0.1885,0.2573,378,45.9,94.60620078740168,0.2053,0.199,2.7.10.2
Q23588,0.2583,0.3484,295,34.0,95.3268995256574,0.3021,0.2035,2.4.2.2
Q27536,0.3448,0.3704,352,41.2,92.39730224525069,0.3662,0.2526,2.7.7.12
Q2G1C1,0.2391,0.2727,389,39.7,92.29534153846136,0.2819,0.2166,2.7.8.45
Q2G1D8,0.1899,0.1851,749,79.0,96.3897450092271,0.2313,0.1895,2.3.1.54
Q2G1M5,0.2419,0.2805,241,25.7,94.02915528578671,0.2806,0.2035,2.7.1.225
Q38997,0.3305,0.3868,495,46.7,82.33751691305457,0.3269,0.2779,2.7.11.1
Q39129,0.2579,0.3542,120,14.2,83.96066292134861,0.2911,0.2188,2.8.1.1
Q3TRM8,0.1593,0.1422,895,4.8,91.1268046381907,0.2089,0.1764,2.7.1.1
Q3TUA9,0.3199,0.3076,332,31.7,93.39845318352084,0.3647,0.2439,2.7.1.183
Q3UWQ3,0.2907,0.2511,185,20.3,89.52512292358806,0.3013,0.2517,2.3.2.34
Q43870,0.2259,0.2279,398,42.2,95.56753632343651,0.2985,0.1744,2.7.7.4
Q46889,0.1798,0.2097,388,51.5,93.46011359724568,0.2483,0.1724,2.7.1.217
Q46925,0.192,0.2064,401,51.8,96.15708141825316,0.2454,0.1915,2.8.1.7
Q4V8J2,0.2069,0.2086,153,21.3,95.25270485282395,0.2632,0.1819,2.3.2.23
Q54AK6,0.2827,0.2923,158,20.1,95.21308056872036,0.3488,0.1886,2.3.2.23
Q54B14,0.3103,0.2635,360,32.2,90.04527254374153,0.3293,0.248,2.3.2.5
Q54CG9,0.3113,0.3189,160,17.3,92.19878287002264,0.3454,0.2588,2.7.4.6
Q54E29,0.2777,0.3105,256,29.6,96.0518600281822,0.293,0.2207,2.7.7.79
Q54GN2,0.1821,0.2229,203,26.4,96.8472191863994,0.1986,0.1916,2.7.4.9
Q54GN5,0.2606,0.2697,487,51.2,94.41179047131148,0.3092,0.211,2.7.7.23
Q54GT6,0.2221,0.2474,386,46.6,96.80057258336142,0.2862,0.1906,2.6.1.44
Q54I60,0.1848,0.2073,206,24.2,96.0302933985332,0.2306,0.1713,2.1.2.2
Q54JL3,0.2167,0.3648,537,62.6,95.93598555956656,0.2705,0.1778,2.1.2.5
Q54K95,0.2049,0.2326,394,50.8,96.4072108843536,0.2672,0.1961,2.6.1.5
Q54MJ7,0.1918,0.2249,462,60.7,96.96795681063136,0.252,0.1785,2.6.1.2
Q54N47,0.2114,0.288,363,45.4,96.99577692037929,0.255,0.2053,2.6.1.42
Q54QJ9,0.2875,0.3284,266,28.4,88.89762679425803,0.3477,0.2111,2.7.4.3
Q54QV7,0.2215,0.3373,198,26.0,96.26195121951208,0.2652,0.177,2.5.1.18
Q54VQ6,0.2635,0.3061,479,50.9,93.45012847965742,0.3217,0.2093,2.9.1.2
Q54WR8,0.2788,0.2931,137,20.1,96.28137522768688,0.3308,0.2054,2.3.1.4
Q54XS6,0.2946,0.263,153,19.6,95.24735342019522,0.3618,0.1895,2.3.2.23
Q55DA3,0.2444,0.3087,352,37.5,93.62599347353138,0.2868,0.2128,2.5.1.59
Q55EY8,0.2456,0.3263,149,17.4,89.69175824175815,0.2826,0.2173,2.3.2.23
Q568K5,0.2297,0.2927,226,23.7,95.346426247289,0.247,0.2161,2.3.1.257
Q56XM9,0.2664,0.2879,492,56.6,86.55285822592838,0.2967,0.2316,2.7.7.19
Q57616,0.2562,0.1852,728,74.9,89.1654187973898,0.3172,0.1919,2.3.1.169
Q57631,0.2329,0.2271,163,19.6,96.80716848673902,0.2546,0.1914,2.7.7.75
Q57648,0.244,0.3744,191,22.4,96.14141076115467,0.3024,0.1805,2.7.7.6
Q57766,0.2043,0.211,301,33.6,98.08903381642492,0.2514,0.1999,2.3.1.101
Q57832,0.2604,0.2758,99,13.5,95.1968632371395,0.334,0.1736,2.7.7.6
Q57840,0.1901,0.2199,187,26.2,91.18012717536809,0.247,0.1823,2.7.7.6
Q57849,0.215,0.2183,302,41.1,95.77101170568557,0.2715,0.1785,2.7.1.73
Q57880,0.2176,0.3101,381,48.0,96.85069088550094,0.2603,0.1922,2.1.1.256
Q57907,0.3157,0.3608,340,32.6,92.51732578705308,0.4663,0.1965,2.5.1.108
Q57991,0.1653,0.1628,473,62.5,92.9202632308117,0.1994,0.1709,2.7.2.4
Q58027,0.2367,0.2507,424,42.9,97.76721062052442,0.2938,0.1833,2.9.1.2
Q58092,0.2312,0.2671,316,39.1,97.78018969072212,0.2915,0.1938,2.2.1.1
Q58094,0.2252,0.3062,274,31.6,97.14575857209918,0.2835,0.1907,2.2.1.1
Q58181,0.2822,0.2821,230,27.3,94.39771058315334,0.3622,0.1956,2.1.1.151
Q58250,0.221,0.3127,330,31.0,95.7466615853662,0.2651,0.1806,2.5.1.131
Q58252,0.2755,0.2475,447,46.0,97.4851459201907,0.3304,0.1911,2.8.4.1
Q58444,0.2734,0.3114,498,50.0,93.9659138972807,0.3078,0.2061,2.7.7.6
Q58473,0.2515,0.3178,270,28.6,90.00057573073481,0.2818,0.1933,2.7.11.1
Q58517,0.1943,0.2515,196,18.6,94.72972459016329,0.2385,0.1581,2.7.7.62
Q58669,0.1824,0.2269,350,39.6,97.07652036516777,0.1963,0.1838,2.5.1.128
Q58905,0.1912,0.1902,193,24.5,96.74556825396816,0.23,0.1523,2.1.1.282
Q58933,0.2743,0.1919,248,32.9,91.9655074555076,0.3387,0.152,2.7.1.164
Q58952,0.187,0.2617,249,33.7,94.74191582002882,0.2134,0.1755,2.5.1.114
Q58973,0.2021,0.1664,247,32.1,95.7190332640331,0.2545,0.1781,2.1.1.271
Q58980,0.2344,0.3129,310,33.5,96.7193056696797,0.2769,0.199,2.2.1.11
Q5A931,0.2321,0.2666,689,73.5,92.36470651782432,0.2864,0.1988,2.1.1.290
Q5BJI7,0.2512,0.2846,435,50.9,96.03604744212711,0.2914,0.2051,2.1.1.354
Q5BJZ6,0.2509,0.2571,374,43.7,94.52020228384968,0.2864,0.2193,2.1.1.22
Q5I0M0,0.3168,0.3091,299,28.3,86.60781250000046,0.3145,0.2814,2.1.1.357
Q5M965,0.2832,0.3343,266,27.4,92.87863963963991,0.3105,0.2282,2.7.7.79
Q5PXE9,0.2934,0.3041,489,46.7,88.74903457106319,0.3329,0.2362,2.7.1.158
Q5U3U3,0.1869,0.1712,621,76.3,97.06663751017132,0.2403,0.1803,2.3.1.21
Q5U4E8,0.2164,0.1758,693,81.8,93.18188260948672,0.2572,0.203,2.1.1.321
Q5U9F2,0.3093,0.3105,142,22.8,97.0258899082566,0.3251,0.2502,2.3.1.4
Q5XIJ9,0.249,0.3043,471,54.0,95.1942144846804,0.3157,0.2101,2.8.3.5
Q5Z8Y4,0.2238,0.3037,616,48.3,94.48035511662088,0.2924,0.1975,2.7.7.64
Q60181,0.3202,0.371,636,59.5,90.96441512406535,0.3799,0.2442,2.7.7.6
Q60352,0.2281,0.2072,260,31.6,95.4109296724471,0.2859,0.164,2.7.4.26
Q60369,0.1816,0.2019,207,25.9,95.49824348879532,0.2287,0.1693,2.7.7.87
Q60390,0.247,0.2581,447,46.2,97.60020523498004,0.2919,0.2029,2.8.4.1
Q63454,0.3352,0.3981,274,31.9,87.72661946094058,0.4296,0.2277,2.7.11.24
Q63651,0.3268,0.2433,534,49.2,93.54811461988314,0.3859,0.2312,2.7.11.14
Q64536,0.2677,0.2897,383,49.5,91.15537933289762,0.3287,0.1946,2.7.11.2
Q64640,0.1595,0.1787,339,45.4,95.58430341719878,0.2035,0.1873,2.7.1.20
Q683C9,0.2288,0.3266,264,34.2,91.62655616942894,0.2565,0.2069,2.7.11.1
Q6AWU6,0.2725,0.2346,226,20.6,94.22114883984254,0.3235,0.2175,2.1.1.9
Q6AY91,0.2576,0.2762,195,14.8,93.74948407643303,0.3146,0.1868,2.7.1.22
Q6DC37,0.1906,0.2228,292,34.5,94.36635055038091,0.2234,0.1793,2.1.1.8
Q6DRD3,0.2228,0.2299,325,39.3,96.0494792854428,0.2465,0.1964,2.7.7.7
Q6EV70,0.3187,0.2835,353,37.7,96.1780356518699,0.4002,0.2279,2.4.1.221
Q6IMI4,0.2275,0.2587,303,29.3,94.22193195625718,0.2623,0.2032,2.8.2.n2
Q6IMI6,0.2435,0.3288,304,28.0,92.54959984152116,0.2888,0.2061,2.8.2.2
Q6K9X3,0.2882,0.3527,355,42.2,94.7448493975902,0.3897,0.2042,2.1.1.7
Q6P1C1,0.287,0.2595,477,47.4,87.79260778677747,0.3322,0.2249,2.7.1.158
Q6P6M7,0.2719,0.2609,487,54.8,95.8016094706034,0.3272,0.2121,2.9.1.2
Q6P9S7,0.2848,0.2706,603,57.4,91.0325159170274,0.2869,0.2671,2.4.1.41
Q6ZKV8,0.2729,0.2829,798,80.8,93.3859011345222,0.3424,0.2121,2.6.1.62
Q71SG7,0.2952,0.2731,428,41.0,93.06931928225512,0.3335,0.2224,2.4.1.102
Q75GI4,0.2457,0.3224,311,36.8,88.03644273573471,0.2925,0.2037,2.7.1.134
Q7SXS7,0.3107,0.2231,575,60.9,87.2495612311719,0.2625,0.2773,2.1.1.85
Q7TSV6,0.2146,0.2178,387,49.0,92.95801957585653,0.2552,0.1909,2.6.1.1
Q80UJ9,0.3088,0.3225,274,28.6,88.35921150278281,0.3046,0.2692,2.1.1.357
Q84J75,0.1878,0.2169,310,39.2,96.1771849087889,0.2125,0.2077,2.5.1.60
Q86AG8,0.296,0.3092,481,45.8,89.8113541933831,0.3419,0.2345,2.6.1.57
Q86AV6,0.3009,0.346,495,49.4,90.33420070600008,0.336,0.2529,2.3.3.16
Q86SR1,0.2899,0.2823,603,60.0,91.49351646090516,0.303,0.2654,2.4.1.41
Q86UY6,0.2066,0.2597,218,23.9,96.1550254381,0.2348,0.1999,2.3.1.257
Q8BKF1,0.2847,0.2714,1150,15.7,86.96352172492587,0.3468,0.207,2.7.7.6
Q8CGR7,0.2726,0.2973,284,36.4,96.55013611615216,0.3253,0.2018,2.4.2.3
Q8CI15,0.2205,0.2525,362,45.4,93.18417019773972,0.275,0.1966,2.7.1.91
Q8GSJ1,0.2598,0.2266,334,38.6,95.24909126213596,0.3316,0.196,2.4.2.17
Q8I236,0.2882,0.3065,186,17.7,94.265064020487,0.3361,0.1924,2.7.4.3
Q8IA44,0.2844,0.3511,563,57.4,91.3701828471925,0.3299,0.2394,2.4.1.41
Q8K1J6,0.2683,0.2059,434,49.1,90.29368854788292,0.2958,0.2154,2.7.7.72
Q8K409,0.1832,0.1958,323,39.3,97.31193151212037,0.2056,0.1819,2.7.7.7
Q8L7T3,0.2511,0.2489,148,20.5,96.07429059829072,0.3007,0.1881,2.3.2.23
Q8LAX0,0.158,0.235,335,39.6,90.7908685537025,0.196,0.1861,2.1.1.10
Q8LI30,0.2566,0.2389,562,58.5,92.4009456104722,0.3085,0.2293,2.4.1.25
Q8MQU6,0.3107,0.318,492,48.7,90.86835324015227,0.3524,0.26,2.3.3.16
Q8N0V5,0.2918,0.3545,402,35.4,91.8585180611296,0.3449,0.2136,2.4.1.150
Q8N0X4,0.1978,0.203,340,41.2,91.24789113056706,0.2625,0.1827,2.3.3.9
Q8N4J0,0.2981,0.2452,375,44.6,94.20512678803595,0.3397,0.2241,2.1.1.22
Q8N5Z0,0.2119,0.1944,425,50.9,97.3462886288628,0.2839,0.188,2.6.1.7
Q8NB12,0.2964,0.255,490,57.8,93.05078668683814,0.3356,0.2077,2.1.1.354
Q8NHS2,0.234,0.2687,403,48.7,92.51860727728898,0.2911,0.2065,2.6.1.1
Q8QZR1,0.1836,0.2092,400,53.4,96.47585201793764,0.2489,0.1874,2.6.1.5
Q8R216,0.2624,0.2956,298,29.4,92.1199578947366,0.2918,0.2287,2.3.1.286
Q8R2W9,0.3133,0.2839,370,34.8,94.14491022099446,0.4063,0.214,2.7.1.33
Q8R3F5,0.1872,0.2192,349,39.2,93.32399033097867,0.2477,0.1948,2.3.1.39
Q8R4U9,0.2562,0.3541,336,34.4,90.88578344419813,0.2958,0.2242,2.7.11.1
Q8RUW5,0.228,0.3065,411,41.7,96.09189972817931,0.2803,0.2003,2.3.1.92
Q8VDL4,0.2468,0.1878,496,51.7,91.6479247764332,0.3159,0.2093,2.7.1.147
Q8VE10,0.2088,0.2464,217,23.9,96.12159954622918,0.2341,0.2017,2.3.1.257
Q8VHI3,0.2717,0.2993,383,40.9,95.26104879594467,0.3002,0.2227,2.4.1.221
Q8VI38,0.3676,0.2139,347,30.6,87.10528591352872,0.3961,0.2639,2.4.1.88
Q8VYG2,0.2036,0.2804,424,52.1,91.99460485376488,0.2675,0.1855,2.7.1.44
Q8VYN6,0.2826,0.2659,465,45.4,94.2748440979951,0.358,0.2116,2.7.1.11
Q91V26,0.2329,0.2524,361,43.8,93.11619708288885,0.2827,0.2048,2.7.1.91
Q91X34,0.2309,0.2944,420,51.2,94.21055115712592,0.3044,0.1891,2.3.1.65
Q91YN5,0.2562,0.2478,522,56.0,93.06483519146876,0.2969,0.2263,2.7.7.23
Q91ZW2,0.3301,0.2695,379,35.5,94.22111183994758,0.4281,0.251,2.4.1.221
Q92207,0.246,0.3059,357,38.3,89.05089993050765,0.2707,0.2195,2.7.11.24
Q92209,0.2244,0.3691,357,36.6,96.42183799491472,0.3031,0.1764,2.7.1.39
Q925K9,0.1844,0.3497,273,31.9,94.08209465791968,0.2311,0.1954,2.7.11.1
Q925R7,0.2909,0.2632,603,57.3,90.79724732949936,0.2949,0.265,2.4.1.41
Q93VK0,0.2191,0.3283,278,33.5,92.28976659038878,0.269,0.2041,2.7.11.1
Q94A02,0.3727,0.3884,440,43.6,87.81590818928841,0.3797,0.2866,2.6.1.27
Q94AA4,0.2569,0.3173,446,44.5,93.79809122603112,0.3227,0.2076,2.7.1.11
Q94BN2,0.2399,0.2332,329,37.1,90.65598505701904,0.2831,0.2103,2.5.1.22
Q94CD1,0.2166,0.3151,447,52.9,91.8854026270702,0.2692,0.2087,2.3.1.188
Q95Q89,0.2527,0.3651,292,27.7,95.88329650905848,0.2812,0.2208,2.3.1.286
Q965G5,0.3144,0.3724,339,34.1,85.25977407407376,0.3421,0.2432,2.7.11.1
Q96EK6,0.349,0.3096,168,23.6,97.70664133738636,0.4025,0.228,2.3.1.4
Q96F10,0.2911,0.2991,170,22.9,94.32750185322438,0.3767,0.2252,2.3.1.57
Q96KB5,0.2419,0.3595,288,32.0,89.98074692442866,0.2888,0.2136,2.7.12.2
Q96PN8,0.1938,0.3077,268,33.5,92.73921837991485,0.2288,0.2058,2.7.11.1
Q96Q11,0.239,0.2234,399,50.2,93.8970089978279,0.2709,0.2054,2.7.7.72
Q96T66,0.259,0.2637,232,29.6,93.13250950570423,0.2838,0.22,2.7.7.1
Q99J99,0.1818,0.1961,297,36.0,96.57193162393118,0.2044,0.1932,2.8.1.2
Q99KQ4,0.2618,0.2139,481,54.5,96.7252872368086,0.2936,0.2074,2.4.2.12
Q99N42,0.1539,0.1981,450,44.8,95.61705405405444,0.2059,0.1721,2.4.2.4
Q9BRR6,0.2465,0.1954,497,50.0,91.46731323722256,0.3203,0.2058,2.7.1.147
Q9C5I1,0.2516,0.3195,614,57.5,95.3424994770964,0.3191,0.1945,2.7.7.64
Q9C5Q8,0.2801,0.2733,942,77.8,81.41027664213723,0.3494,0.2591,2.1.1.386
Q9C6B9,0.2095,0.3026,490,44.8,93.90485131048364,0.2514,0.1898,2.1.1.103
Q9C6C8,0.3211,0.3195,254,25.3,90.11054320987664,0.376,0.2163,2.5.1.18
Q9C6L1,0.245,0.2687,297,33.0,94.12687898089156,0.2803,0.1937,2.5.1.112
Q9C9C9,0.225,0.2228,322,37.4,98.08476028690096,0.2682,0.1918,2.8.2.38
Q9C9D0,0.2128,0.2476,322,36.3,96.97968313843818,0.2504,0.1952,2.8.2.24
Q9CQF6,0.2556,0.2679,293,38.6,91.45354852145006,0.2683,0.2367,2.7.8.7
Q9CY34,0.2942,0.2731,185,21.7,89.9870774410771,0.3068,0.2676,2.3.2.34
Q9CYK2,0.215,0.1967,337,38.0,95.07796323529465,0.2317,0.226,2.3.2.5
Q9D0D3,0.2806,0.2874,523,63.3,88.37990067829507,0.3108,0.2625,2.7.7.19
Q9D2E1,0.1924,0.3471,268,33.3,93.05833962264184,0.2232,0.2052,2.7.11.1
Q9D7C9,0.2568,0.2781,195,17.4,94.40667090215976,0.3109,0.1812,2.7.1.22
Q9DGE0,0.2743,0.2891,299,40.0,85.63029869583443,0.3055,0.2258,2.7.12.2
Q9EQR2,0.2384,0.2361,630,65.9,91.34475323624616,0.2997,0.2077,2.5.1.26
Q9ES70,0.2048,0.2363,269,37.4,88.93785648994455,0.2315,0.2066,2.7.11.1
Q9ESG5,0.2404,0.2396,250,29.8,97.47927003816817,0.2773,0.2124,2.8.2.23
Q9ESL0,0.2356,0.2661,470,52.4,95.22944584382893,0.302,0.2101,2.8.3.5
Q9FI78,0.2104,0.2262,433,53.0,96.32268969589629,0.2801,0.2026,2.3.1.133
Q9FMY3,0.3185,0.3017,331,33.6,86.9535565015477,0.3574,0.2345,2.7.11.1
Q9FR44,0.2017,0.2006,491,39.3,93.22035976691107,0.2351,0.1927,2.1.1.103
Q9FUM8,0.154,0.2431,338,38.1,90.94965957446848,0.1926,0.1896,2.1.1.10
Q9FUT0,0.2219,0.3567,240,27.8,93.22869609856238,0.2727,0.1949,2.5.1.18
Q9FYC4,0.1964,0.2382,348,40.8,94.7108004426409,0.2554,0.1904,2.1.1.325
Q9FZ80,0.2521,0.236,346,36.7,94.1453168141589,0.303,0.202,2.8.2.38
Q9GZZ1,0.2082,0.1927,153,22.2,96.74067469879516,0.2318,0.1982,2.3.1.258
Q9H1B5,0.3088,0.2036,865,78.7,84.8620295797333,0.3089,0.2814,2.4.2.26
Q9H3S4,0.1898,0.2058,243,30.8,97.94302713987508,0.2428,0.1739,2.7.6.2
Q9H5K3,0.3073,0.3228,332,31.6,94.02705595193336,0.3707,0.225,2.7.1.183
Q9H7X0,0.2661,0.2717,223,30.0,92.35166107382558,0.3348,0.2065,2.3.1.48
Q9H8X2,0.2965,0.2816,491,47.1,88.6891380625478,0.3484,0.2342,2.7.1.158
Q9H999,0.3162,0.2841,370,33.5,94.31386104389844,0.4264,0.2178,2.7.1.33
Q9H9Y6,0.3114,0.3477,1135,12.0,92.49291648156472,0.4097,0.2246,2.7.7.6
Q9HBY8,0.2439,0.3983,336,33.5,91.34129821958436,0.2788,0.2187,2.7.11.1
Q9HC98,0.2127,0.2762,269,37.7,89.40282239559393,0.2389,0.2045,2.7.11.1
Q9HDU2,0.1845,0.2935,519,51.2,94.35094229364564,0.2295,0.1931,2.7.1.6
Q9I7I7,0.266,0.3185,331,34.6,85.66618939393953,0.2969,0.2331,2.3.1.286
Q9JJN4,0.2322,0.2789,470,51.8,95.38377030812356,0.2985,0.2104,2.8.3.5
Q9JK38,0.3568,0.3094,168,24.3,97.7562053231937,0.404,0.2322,2.3.1.4
Q9JK42,0.2716,0.2858,382,48.7,91.9557095926413,0.3336,0.1922,2.7.11.2
Q9LHL5,0.2016,0.2142,317,40.8,96.13412691996756,0.2258,0.2127,2.5.1.60
Q9LJL4,0.265,0.259,287,29.7,93.45265529308853,0.3017,0.2187,2.5.1.112
Q9LJZ5,0.2475,0.2634,148,20.3,95.743513971211,0.2811,0.1977,2.3.2.23
Q9LQ48,0.2022,0.2301,233,29.8,92.83332799145276,0.2265,0.1936,2.5.1.18
Q9LR29,0.3076,0.3854,360,40.1,95.45112033195004,0.3529,0.2293,2.6.1.27
Q9LR30,0.1801,0.2346,464,51.8,95.58942366306437,0.2503,0.1766,2.6.1.2
Q9LRE5,0.2445,0.335,429,54.1,93.38902691511346,0.2726,0.2161,2.7.7.7
Q9LSY9,0.1984,0.2774,473,47.9,92.8743709503246,0.2558,0.1824,2.4.1.91
Q9LWN0,0.2742,0.3142,371,39.1,91.83244436952184,0.3037,0.2384,2.7.11.1
Q9LXS6,0.2736,0.268,514,47.6,91.1140842950328,0.3234,0.2509,2.3.3.16
Q9M077,0.2273,0.3493,264,32.5,92.59971902349184,0.2525,0.2065,2.7.11.1
Q9NDH7,0.3125,0.2892,669,48.3,86.40222465353709,0.3437,0.2586,2.4.1.155
Q9NFT9,0.1801,0.1945,465,54.8,93.05662568306008,0.217,0.1994,2.7.1.1
Q9NHD5,0.2681,0.2294,184,21.2,86.71102165087979,0.2881,0.2484,2.3.1.258
Q9NPI5,0.2663,0.2484,197,17.7,93.98980576441096,0.3325,0.1735,2.7.1.22
Q9NRN7,0.2495,0.3113,294,39.9,92.39803326403336,0.2633,0.2288,2.7.8.7
Q9NVF9,0.1911,0.2676,324,40.8,95.05061458718932,0.2232,0.1898,2.7.1.82
Q9NVV4,0.2826,0.2541,520,61.2,88.79623139702339,0.3191,0.2499,2.7.7.19
Q9NYA1,0.2307,0.2246,364,47.3,94.53878273177624,0.2767,0.1997,2.7.1.91
Q9P109,0.3136,0.3229,442,40.5,91.836070743077,0.3499,0.2356,2.4.1.102
Q9P6M1,0.2808,0.3374,223,25.0,94.64270240700232,0.3116,0.2078,2.5.1.18
Q9P7W5,0.3118,0.2631,327,38.9,88.88232706766956,0.3623,0.2116,2.7.11.1
Q9PTE6,0.2864,0.2475,355,31.4,90.91031238906608,0.3348,0.2304,2.8.2.20
Q9QX69,0.1933,0.1884,399,49.1,98.10410031347988,0.2152,0.1871,2.5.1.18
Q9QY78,0.2672,0.2049,746,62.7,85.96617975654456,0.296,0.2234,2.7.11.10
Q9QZS5,0.2529,0.3586,337,37.4,91.36470566593084,0.2894,0.2269,2.7.11.1
Q9QZU9,0.2449,0.2196,153,20.1,95.92834789515484,0.3035,0.1896,2.3.2.23
Q9R0M5,0.1563,0.1894,243,30.7,97.50048319327723,0.1834,0.1723,2.7.6.2
Q9S762,0.2584,0.2326,334,37.0,95.51038506417832,0.323,0.1981,2.4.2.17
Q9S7D8,0.2211,0.239,406,44.3,94.82886469673346,0.2679,0.1922,2.7.7.4
Q9S7E9,0.1796,0.2263,464,56.1,95.8026224066386,0.2413,0.1862,2.6.1.2
Q9S7N2,0.3004,0.2666,391,37.8,92.79910130200052,0.3329,0.2334,2.6.1.27
